input,H1072075.JPG,H1072078.JPG,H1072080.JPG,H1072082.JPG,H1072084.JPG,H1072086.JPG,H1072088.JPG,H1072090.JPG,H1072092.JPG,H1072094.JPG,H1072096.JPG,H1072098.JPG,H1072100.JPG,H1072102.JPG,H1072104.JPG,H1072107.JPG,H1072110.JPG,H1072112.JPG,H1072114.JPG,H1072116.JPG,H1072118.JPG,H1072120.JPG,H1072122.JPG,H1072124.JPG,H1072126.JPG,H1072128.JPG,H1072130.JPG
58,58.946,58.324,58.016,58.259,58.109,58.679,58.212,58.013,57.868,27.184,38.431,51.422,64.156,76.346,88.775,58.636,38.597,46.934,54.075,61.658,69.125,77.171,84.643,66.156,61.860,51.885,57.483
59,59.955,59.335,59.013,59.262,59.089,59.684,59.213,59.019,58.871,27.824,39.231,52.341,65.194,77.548,90.140,59.621,39.881,48.161,55.116,62.585,69.947,77.918,85.288,67.085,62.870,52.872,58.483
60,60.947,60.335,59.984,60.254,60.087,60.668,60.198,60.005,59.854,28.458,39.984,53.247,66.232,78.762,91.492,60.630,41.145,49.389,56.172,63.497,70.782,78.644,85.903,68.049,63.897,53.849,59.458
61,61.945,61.334,60.990,61.240,61.070,61.691,61.204,60.995,60.845,29.107,40.740,54.175,67.303,79.969,92.852,61.630,42.423,50.614,57.261,64.407,71.594,79.351,86.508,69.019,64.927,54.855,60.455
62,62.944,62.326,62.006,62.252,62.065,62.698,62.190,61.993,61.850,29.770,41.472,55.098,68.385,81.157,94.192,62.617,43.723,51.801,58.343,65.300,72.397,80.042,87.109,70.049,65.950,55.873,61.439
63,63.947,63.328,63.004,63.252,63.081,63.697,63.210,62.985,62.846,30.435,42.229,56.034,69.474,82.334,95.535,63.610,45.041,52.980,59.426,66.231,73.221,80.737,87.710,71.111,67.012,56.889,62.410
64,64.948,64.331,64.009,64.255,64.103,64.711,64.203,63.971,63.855,31.115,43.000,56.981,70.534,83.486,96.881,64.598,46.331,54.159,60.520,67.163,74.049,81.420,88.284,72.167,68.086,57.944,63.381
65,65.949,65.321,64.976,65.253,65.104,65.704,65.188,64.923,64.807,31.788,43.767,57.911,71.569,84.640,98.201,65.571,47.604,55.372,61.598,68.084,74.848,82.077,88.832,73.216,69.140,59.049,64.356
66,66.948,66.316,65.961,66.231,66.079,66.689,66.151,65.890,65.763,32.463,44.538,58.830,72.591,85.805,99.503,66.549,48.884,56.569,62.655,69.034,75.652,82.717,89.371,74.233,70.188,60.133,65.328
67,67.938,67.309,66.933,67.203,67.029,67.661,67.124,66.866,66.725,33.135,45.301,59.753,73.598,86.944,100.747,67.513,50.206,57.728,63.688,69.954,76.433,83.346,89.891,75.220,71.200,61.221,66.283
68,68.941,68.293,67.915,68.175,67.985,68.645,68.106,67.831,67.697,33.820,46.072,60.671,74.630,88.088,102.023,68.499,51.532,58.895,64.725,70.879,77.202,83.978,90.401,76.208,72.181,62.307,67.241
