input,H1072055.JPG,H1072057.JPG,H1072059.JPG,H1072061.JPG,H1072063.JPG,H1072065.JPG,H1072067.JPG,H1072069.JPG,H1072071.JPG
163,177.749,213.769,111.612,160.928,169.567,180.376,133.295,218.997,188.472
164,179.323,214.446,112.979,161.858,170.760,181.915,135.125,219.569,190.285
165,180.917,215.149,114.349,162.809,171.919,183.411,136.933,220.152,192.031
166,182.474,215.841,115.759,163.849,173.091,184.970,138.772,220.739,193.745
167,184.066,216.489,117.185,164.902,174.282,186.608,140.644,221.310,195.454
168,185.660,217.115,118.627,165.943,175.456,188.268,142.563,221.857,197.194
169,187.226,217.700,120.031,166.995,176.612,189.786,144.425,222.360,198.995
170,188.758,218.277,121.386,168.020,177.767,191.171,146.217,222.849,200.773
171,190.155,218.832,122.718,168.998,178.906,192.565,147.966,223.321,202.401
172,191.538,219.416,124.069,169.930,180.070,193.987,149.795,223.799,204.050
173,192.977,220.004,125.419,170.845,181.285,195.449,151.598,224.284,205.742
174,194.456,220.591,126.772,171.781,182.531,196.925,153.352,224.775,207.490
175,195.952,221.185,128.153,172.778,183.787,198.435,155.130,225.275,209.286
176,197.434,221.758,129.527,173.776,185.029,199.877,156.890,225.765,211.052
177,198.898,222.327,130.951,174.782,186.277,201.315,158.673,226.240,212.787
178,200.331,222.882,132.410,175.772,187.522,202.787,160.460,226.700,214.461
179,201.747,223.444,133.877,176.765,188.780,204.283,162.218,227.150,216.111
180,203.170,224.008,135.304,177.731,190.016,205.677,163.933,227.585,217.718
181,204.640,224.599,136.760,178.717,191.245,207.078,165.673,228.035,219.352
182,206.042,225.189,138.192,179.705,192.480,208.581,167.413,228.471,220.926
183,207.391,225.768,139.556,180.644,193.663,210.026,169.108,228.897,222.373
184,208.782,226.319,140.908,181.566,194.837,211.405,170.769,229.295,223.724
185,210.145,226.837,142.232,182.474,195.918,212.664,172.348,229.677,224.999
186,211.519,227.360,143.673,183.450,197.047,213.973,174.017,230.080,226.330
187,212.926,227.907,145.177,184.476,198.178,215.328,175.772,230.479,227.720
188,214.297,228.438,146.608,185.465,199.258,216.678,177.481,230.872,229.025
189,215.639,228.977,148.106,186.465,200.343,218.044,179.204,231.258,230.284
190,217.026,229.552,149.716,187.481,201.472,219.383,180.938,231.651,231.517
191,218.476,230.151,151.405,188.558,202.648,220.764,182.718,232.061,232.756
192,219.775,230.696,152.973,189.600,203.745,222.058,184.425,232.440,233.884
193,221.003,231.211,154.500,190.571,204.802,223.256,186.072,232.810,234.937
194,222.187,231.698,155.965,191.507,205.858,224.397,187.622,233.165,235.927
195,223.387,232.197,157.438,192.484,206.941,225.545,189.149,233.518,236.912
196,224.608,232.691,158.908,193.513,208.068,226.716,190.719,233.893,237.885
197,225.843,233.186,160.444,194.568,209.192,227.856,192.294,234.256,238.833
198,226.979,233.636,161.990,195.554,210.278,228.889,193.796,234.604,239.705
199,228.075,234.092,163.507,196.529,211.335,229.861,195.211,234.964,240.534
200,229.170,234.542,165.036,197.599,212.462,230.893,196.675,235.320,241.378
201,230.251,235.026,166.577,198.688,213.647,231.955,198.185,235.700,242.251
202,231.322,235.491,168.222,199.741,214.877,233.024,199.679,236.087,243.119
203,232.413,235.959,169.849,200.764,216.104,234.085,201.158,236.453,243.974
204,233.463,236.393,171.489,201.779,217.337,235.107,202.648,236.820,244.768
205,234.482,236.821,172.979,202.801,218.550,236.058,203.988,237.160,245.490
206,235.479,237.248,174.410,203.838,219.791,236.975,205.253,237.493,246.184
207,236.441,237.681,175.926,204.859,221.050,237.849,206.522,237.845,246.874
208,237.425,238.150,177.599,205.898,222.431,238.697,207.882,238.208,247.585
209,238.368,238.627,179.228,206.935,223.848,239.528,209.324,238.584,248.276
210,239.235,239.100,180.777,207.968,225.209,240.315,210.725,238.970,248.894
211,240.020,239.525,182.218,208.993,226.525,241.031,211.983,239.305,249.444
212,240.831,239.995,183.808,210.097,227.933,241.756,213.244,239.675,250.003
213,241.655,240.408,185.454,211.274,229.369,242.455,214.469,240.068,250.532
214,242.458,240.885,187.078,212.516,230.773,243.162,215.690,240.450,250.994
215,243.227,241.330,188.653,213.681,232.197,243.845,216.971,240.890,251.123
216,243.882,241.753,190.192,214.700,233.548,244.501,218.233,241.263,251.229
217,244.542,242.180,191.824,215.727,234.923,245.149,219.433,241.625,251.341
218,245.215,242.616,193.423,216.772,236.387,245.771,220.596,242.018,251.463
219,245.824,243.041,194.903,217.752,237.749,246.285,221.736,242.371,251.588
220,246.343,243.366,196.453,218.717,239.016,246.783,222.861,242.755,251.725
221,246.898,243.758,198.089,219.783,240.204,247.294,223.920,243.163,251.888
222,247.439,244.202,199.565,220.921,241.334,247.820,224.944,243.587,252.114
223,247.953,244.627,201.151,221.984,242.438,248.338,225.962,244.018,252.384
224,248.497,244.978,202.879,223.101,243.580,248.762,227.096,244.504,252.627
225,248.905,245.437,204.643,224.202,244.696,249.173,228.153,244.825,252.777
226,249.424,245.773,206.480,225.189,245.712,249.676,229.213,245.172,252.881
227,249.840,245.988,208.257,226.086,246.685,250.076,230.368,245.712,252.953
228,250.876,248.072,209.877,226.999,247.802,252.643,231.750,246.414,253.246
229,,,,,,,,253.211,253.918
230,,,,,,,,,
231,,,,,,,,,
232,,,,,,,,,
233,,,,,,,,,
234,,,,,,,,,
235,,,,,,,,,
236,,,,,,,,,
237,,,,,,,,,
238,,,,,,,,,
239,,,,,,,,,
240,,,,,,,,,
241,,,,,,,,,
242,,,,,,,,,
243,,,,,,,,,
244,,,,,,,,,
245,,,,,,,,,
246,,,,,,,,,
247,,,,,,,,,
248,,,,,,,,,
249,,,,,,,,,
250,,,,,,,,,
251,,,,,,,,,
252,,,,,,,,,
253,,,,,,,,,
254,,,,,,,,,
255,,,,,,,,,
