input,H1072136.JPG,H1072138.JPG,H1072140.JPG,H1072142.JPG,H1072144.JPG
210,233.723,213.294,226.024,234.041,215.020
211,234.742,214.566,227.311,235.025,215.604
212,235.792,215.834,228.651,236.040,216.246
213,236.794,217.047,230.033,236.987,216.928
214,237.726,218.217,231.371,237.896,217.716
215,238.665,219.465,232.764,238.835,218.605
216,239.592,220.747,234.103,239.789,219.465
217,240.504,222.025,235.499,240.701,220.291
218,241.389,223.291,236.902,241.551,221.079
219,242.188,224.459,238.210,242.341,221.841
220,242.982,225.617,239.417,243.105,222.553
221,243.699,226.777,240.589,243.841,223.271
222,244.429,227.865,241.720,244.529,224.024
223,245.064,228.879,242.775,245.173,224.785
224,245.743,229.985,243.892,245.835,225.741
225,246.343,231.080,244.969,246.437,226.765
226,246.861,232.098,245.987,246.928,227.864
227,247.639,233.219,246.931,247.670,228.960
228,248.771,234.245,247.956,248.839,230.345
229,,,248.293,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
