input,Highlight -7,Highlight -5,Highlight -3,Highlight -1,Highlight +1,Highlight +3,Highlight +5,Highlight +7,Midtone -7,Midtone -5,Midtone -3,Midtone -1,Midtone +1,Midtone +3,Midtone +5,Midtone +7,Shadow -7,Shadow -5,Shadow -3,Shadow -1,Shadow +1,Shadow +3,Shadow +5,Shadow +7,Contrast -2,Contrast -1,Contrast +1,Contrast +2,High Key,Low Key
31,31.152,31.033,31.128,31.029,31.332,31.085,31.003,30.889,4.884,12.166,18.923,26.939,34.695,42.269,50.046,57.836,4.033,11.649,19.580,26.985,34.497,42.194,50.489,57.942,38.652,34.674,25.867,21.564,31.367,21.467
32,32.244,32.081,32.186,32.075,32.352,32.166,32.037,31.946,5.141,12.675,19.599,27.859,35.855,43.636,51.558,59.536,4.584,12.395,20.447,27.881,35.528,43.383,51.755,59.327,40.079,35.858,26.851,22.462,32.452,22.379
33,33.254,33.077,33.179,33.082,33.330,33.177,33.023,32.934,5.399,13.163,20.269,28.762,36.931,44.930,52.983,61.166,5.111,13.124,21.312,28.778,36.538,44.494,52.922,60.631,41.381,37.005,27.800,23.356,33.474,23.287
34,34.172,33.974,34.104,34.000,34.255,34.099,33.937,33.864,5.635,13.628,20.912,29.621,37.939,46.174,54.304,62.685,5.643,13.822,22.153,29.681,37.528,45.535,54.013,61.863,42.532,38.079,28.677,24.217,34.453,24.162
35,35.060,34.855,34.976,34.853,35.119,34.943,34.790,34.729,5.865,14.076,21.529,30.443,38.929,47.308,55.526,64.178,6.167,14.510,22.941,30.566,38.505,46.530,55.028,63.049,43.612,39.080,29.508,25.048,35.438,24.999
36,35.943,35.722,35.862,35.741,36.026,35.774,35.664,35.597,6.107,14.533,22.166,31.286,39.913,48.442,56.783,65.699,6.744,15.228,23.742,31.464,39.511,47.534,56.052,64.237,44.711,40.057,30.336,25.914,36.428,25.815
37,36.881,36.659,36.786,36.679,37.011,36.686,36.616,36.531,6.380,15.022,22.834,32.168,40.931,49.610,58.135,67.298,7.375,15.999,24.564,32.399,40.537,48.542,57.108,65.419,45.877,41.049,31.179,26.798,37.436,26.631
38,37.855,37.662,37.756,37.696,38.042,37.667,37.635,37.495,6.670,15.523,23.540,33.070,41.972,50.820,59.606,68.981,8.077,16.818,25.432,33.385,41.606,49.599,58.232,66.621,47.014,42.036,32.075,27.726,38.440,27.495
39,38.851,38.705,38.772,38.706,39.072,38.675,38.660,38.486,6.977,16.044,24.265,33.974,43.056,52.079,61.161,70.684,8.857,17.706,26.349,34.408,42.662,50.686,59.392,67.840,48.148,43.060,33.036,28.676,39.441,28.396
40,39.863,39.724,39.783,39.701,40.084,39.687,39.687,39.491,7.310,16.556,24.994,34.866,44.173,53.376,62.693,72.404,9.644,18.615,27.312,35.473,43.695,51.773,60.566,69.039,49.267,44.069,33.968,29.608,40.417,29.276
