input,Highlight -7,Highlight -5,Highlight -3,Highlight -1,Highlight +1,Highlight +3,Highlight +5,Highlight +7,Midtone -7,Midtone -5,Midtone -3,Midtone -1,Midtone +1,Midtone +3,Midtone +5,Midtone +7,Shadow -7,Shadow -5,Shadow -3,Shadow -1,Shadow +1,Shadow +3,Shadow +5,Shadow +7,Contrast -2,Contrast -1,Contrast +1,Contrast +2,High Key,Low Key
216,188.063,195.465,203.949,211.480,220.311,227.907,235.631,244.031,190.192,197.927,203.556,211.664,219.445,226.691,234.063,241.753,214.700,215.687,216.504,215.871,215.728,215.549,216.023,215.602,211.168,215.290,226.264,233.548,239.592,220.747
217,189.533,196.735,205.110,212.562,221.282,228.717,236.419,244.680,191.824,199.397,204.784,212.785,220.403,227.482,234.654,242.180,215.727,216.682,217.484,216.874,216.744,216.562,217.026,216.622,212.605,216.737,227.620,234.923,240.504,222.025
218,191.026,198.082,206.260,213.707,222.252,229.555,237.238,245.322,193.423,200.874,206.124,213.942,221.382,228.301,235.243,242.616,216.772,217.692,218.457,217.875,217.742,217.570,218.014,217.628,213.992,218.119,229.084,236.387,241.389,223.291
219,192.432,199.308,207.398,214.769,223.158,230.387,237.989,245.928,194.903,202.318,207.406,215.036,222.302,229.069,235.785,243.041,217.752,218.644,219.406,218.826,218.681,218.526,218.935,218.579,215.286,219.396,230.427,237.749,242.188,224.459
220,193.824,200.577,208.562,215.830,224.046,231.234,238.651,246.418,196.453,203.666,208.650,216.075,223.200,229.821,236.304,243.366,218.717,219.614,220.389,219.797,219.653,219.493,219.914,219.543,216.553,220.643,231.715,239.016,242.982,225.617
221,195.244,201.916,209.762,217.012,224.942,232.067,239.351,246.975,198.089,204.976,210.036,217.225,224.136,230.598,236.896,243.758,219.783,220.690,221.387,220.839,220.703,220.546,220.969,220.591,217.806,221.871,232.995,240.204,243.699,226.777
222,196.553,203.192,210.872,218.140,225.781,232.862,240.072,247.515,199.565,206.262,211.460,218.409,225.036,231.395,237.518,244.202,220.921,221.751,222.371,221.873,221.755,221.637,221.995,221.665,219.092,223.091,234.204,241.334,244.429,227.865
223,197.907,204.527,211.975,219.214,226.666,233.689,240.744,248.035,201.151,207.631,212.746,219.503,225.859,232.100,238.159,244.627,221.984,222.715,223.293,222.809,222.708,222.610,222.892,222.627,220.306,224.294,235.290,242.438,245.064,228.879
224,199.516,205.976,213.310,220.366,227.558,234.492,241.418,248.560,202.879,209.167,214.186,220.709,226.858,232.881,238.841,244.978,223.101,223.764,224.306,223.875,223.795,223.703,223.965,223.702,221.602,225.596,236.465,243.580,245.743,229.985
225,201.227,207.450,214.715,221.465,228.529,235.285,241.977,248.943,204.643,210.756,215.585,221.782,227.794,233.662,239.434,245.437,224.202,224.828,225.397,224.937,224.854,224.751,225.039,224.765,222.833,226.805,237.566,244.696,246.343,231.080
226,202.844,208.980,216.022,222.491,229.547,236.000,242.608,249.478,206.480,212.358,216.851,222.781,228.733,234.374,239.891,245.773,225.189,225.807,226.459,225.958,225.852,225.735,226.045,225.758,224.058,227.920,238.565,245.712,246.861,232.098
227,204.480,210.481,217.443,223.560,230.640,236.851,243.218,249.869,208.257,213.921,217.965,223.786,229.729,235.074,240.566,245.988,226.086,226.801,227.577,226.974,226.834,226.704,227.047,226.722,225.287,229.088,239.549,246.685,247.639,233.219
228,206.007,211.891,218.705,224.661,231.571,237.648,243.855,250.340,209.926,215.373,219.299,224.973,230.656,235.822,241.582,246.353,227.127,227.820,228.595,227.991,227.918,227.879,228.283,227.739,226.524,230.331,240.805,247.534,248.291,234.292
229,207.574,213.328,219.978,225.764,232.493,238.423,244.461,250.769,211.596,216.826,220.629,226.085,231.579,236.565,242.230,246.712,228.167,228.837,229.608,229.006,228.949,228.924,229.325,228.756,227.735,231.520,241.897,248.303,248.886,235.322
230,209.179,214.789,221.262,226.871,233.406,239.178,245.037,251.159,213.265,218.282,221.959,227.197,232.498,237.302,242.855,247.065,229.206,229.852,230.616,230.019,229.976,229.963,230.359,229.771,228.922,232.668,242.903,248.996,249.429,236.311
231,210.821,216.273,222.556,227.981,234.312,239.913,245.585,251.511,214.934,219.740,223.287,228.310,233.415,238.035,243.459,247.412,230.243,230.866,231.618,231.029,230.998,230.996,231.386,230.785,230.087,233.777,243.829,249.618,249.920,237.262
232,212.495,217.779,223.860,229.093,235.210,240.631,246.107,251.829,216.603,221.200,224.614,229.422,234.329,238.764,244.042,247.754,231.280,231.879,232.616,232.038,232.017,232.024,232.405,231.798,231.230,234.849,244.680,250.174,250.365,238.178
233,214.201,219.305,225.174,230.208,236.102,241.332,246.605,252.114,218.273,222.662,225.940,230.534,235.240,239.488,244.607,248.091,232.316,232.890,233.609,233.045,233.033,233.047,233.419,232.811,232.354,235.886,245.460,250.667,250.766,239.061
234,215.936,220.849,226.495,231.326,236.987,242.018,247.080,252.370,219.942,224.125,227.265,231.646,236.148,240.209,245.155,248.424,233.350,233.900,234.598,234.050,234.045,234.065,234.426,233.823,233.459,236.892,246.175,251.102,251.127,239.913
235,217.697,222.412,227.824,232.445,237.866,242.689,247.535,252.598,221.612,225.590,228.589,232.758,237.055,240.926,245.686,248.753,234.384,234.909,235.583,235.053,235.055,235.078,235.427,234.834,234.548,237.869,246.830,251.485,251.450,240.736
236,219.482,223.989,229.160,233.566,238.740,243.347,247.970,252.800,223.281,227.056,229.912,233.870,237.959,241.640,246.203,249.077,235.418,235.917,236.566,236.055,236.061,236.088,236.423,235.844,235.621,238.818,247.430,251.819,251.739,241.534
237,221.290,225.582,230.502,234.689,239.610,243.993,248.388,252.980,224.950,228.523,231.235,234.983,238.861,242.352,246.706,249.399,236.450,236.924,237.544,237.056,237.066,237.094,237.415,236.854,236.680,239.743,247.979,252.109,251.997,242.308
238,223.118,227.187,231.850,235.814,240.475,244.629,248.791,253.139,226.620,229.991,232.557,236.095,239.762,243.060,247.197,249.717,237.482,237.930,238.521,238.055,238.068,238.097,238.403,237.863,237.726,240.646,248.483,252.360,252.228,243.062
239,224.963,228.803,233.203,236.940,241.336,245.255,249.180,253.280,228.289,231.461,233.878,237.207,240.661,243.766,247.677,250.033,238.513,238.935,239.494,239.054,239.068,239.097,239.386,238.872,238.762,241.530,248.946,252.576,252.433,243.796
240,226.823,230.429,234.560,238.068,242.193,245.874,249.557,253.405,229.959,232.931,235.199,238.319,241.558,244.471,248.148,250.346,239.544,239.940,240.466,240.052,240.066,240.095,240.367,239.881,239.787,242.396,249.375,252.761,252.618,244.515
241,228.696,232.064,235.922,239.196,243.048,246.485,249.924,253.517,231.628,234.402,236.519,239.431,242.455,245.173,248.611,250.657,240.575,240.944,241.435,241.048,241.063,241.090,241.345,240.889,240.805,243.248,249.773,252.921,252.784,245.219
242,230.580,233.705,237.286,240.325,243.901,247.090,250.283,253.618,233.297,235.874,237.839,240.543,243.351,245.875,249.068,250.966,241.605,241.948,242.404,242.045,242.058,242.084,242.320,241.897,241.816,244.087,250.147,253.060,252.936,245.913
243,232.472,235.352,238.652,241.455,244.752,247.692,250.635,253.710,234.967,237.346,239.159,241.655,244.246,246.575,249.519,251.274,242.635,242.952,243.371,243.040,243.053,243.076,243.294,242.904,242.821,244.917,250.500,253.182,253.075,246.597
244,234.370,237.003,240.021,242.586,245.601,248.289,250.982,253.796,236.636,238.818,240.479,242.767,245.140,247.274,249.966,251.582,243.665,243.955,244.337,244.036,244.046,244.067,244.266,243.912,243.823,245.739,250.838,253.292,253.206,247.275
245,236.272,238.656,241.390,243.716,246.450,248.885,251.327,253.878,238.306,240.291,241.798,243.879,246.034,247.973,250.410,251.888,244.694,244.958,245.302,245.031,245.040,245.057,245.237,244.919,244.822,246.557,251.166,253.394,253.332,247.949
246,238.176,240.311,242.760,244.847,247.298,249.480,251.670,253.958,239.975,241.763,243.117,244.991,246.928,248.672,250.853,252.195,245.724,245.961,246.268,246.026,246.033,246.047,246.208,245.926,245.820,247.372,251.489,253.493,253.455,248.621
247,240.079,241.965,244.130,245.978,248.147,250.076,252.014,254.039,241.645,243.236,244.437,246.103,247.822,249.371,251.296,252.501,246.754,246.964,247.233,247.021,247.026,247.037,247.178,246.934,246.819,248.187,251.812,253.594,253.580,249.295
248,241.978,243.616,245.498,247.109,248.996,250.673,252.360,254.123,243.314,244.708,245.756,247.215,248.716,250.070,251.740,252.808,247.783,247.967,248.199,248.017,248.019,248.027,248.149,247.941,247.820,249.004,252.141,253.701,253.709,249.971
249,243.873,245.265,246.866,248.239,249.846,251.272,252.711,254.213,244.983,246.180,247.076,248.327,249.611,250.770,252.187,253.116,248.813,248.970,249.166,249.012,249.013,249.019,249.122,248.948,248.824,249.826,252.479,253.818,253.845,250.653
250,245.760,246.908,248.231,249.368,250.698,251.876,253.067,254.311,246.653,247.652,248.395,249.440,250.506,251.470,252.638,253.425,249.843,249.974,250.134,250.008,250.008,250.011,250.095,249.956,249.833,250.656,252.832,253.951,253.992,251.343
251,247.637,248.545,249.593,250.497,251.552,252.486,253.431,254.419,248.322,249.123,249.715,250.552,251.403,252.173,253.094,253.735,250.874,250.978,251.103,251.005,251.003,251.004,251.071,250.964,250.848,251.495,253.205,254.103,254.153,252.044
252,249.502,250.175,250.951,251.625,252.409,253.101,253.804,254.539,249.992,250.594,251.036,251.664,252.300,252.876,253.557,254.048,251.905,251.982,252.074,252.002,252.000,252.000,252.048,251.972,251.871,252.347,253.604,254.280,254.331,252.757
253,251.352,251.794,252.306,252.751,253.269,253.725,254.189,254.675,251.661,252.064,252.357,252.776,253.198,253.582,254.028,254.362,252.936,252.987,253.047,253.000,252.998,252.997,253.029,252.981,252.903,253.213,254.032,254.485,254.530,253.486
254,253.185,253.403,253.656,253.876,254.132,254.357,254.587,254.827,253.331,253.532,253.678,253.888,254.098,254.290,254.509,254.680,253.968,253.993,254.022,254.000,253.998,253.997,254.013,253.990,253.945,254.097,254.496,254.723,254.752,254.233
255,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000,255.000
